Code_CIS;Code_CIP13;Code_Evnt_Pres;Date_Evnt_Pres;Evnt_Pres
65942854;3400935308917;16;31/12/2020;Déclaration d'arrêt de commercialisation
65943479;3400930629123;15;19/02/1970;Déclaration de commercialisation
65945665;3400922257372;15;20/11/2013;Déclaration de commercialisation
65945665;3400922257662;15;01/08/2012;Déclaration de commercialisation
65945882;3400927959202;15;15/12/2014;Déclaration de commercialisation
65946692;3400956019519;15;19/01/1998;Déclaration de commercialisation
65946703;3400937281270;15;07/06/2006;Déclaration de commercialisation
65946703;3400937281621;15;06/08/2008;Déclaration de commercialisation
65946710;3400935086211;15;19/10/1999;Déclaration de commercialisation
65946710;3400935086389;15;01/08/2014;Déclaration de commercialisation
65946710;3400936384477;15;01/12/2005;Déclaration de commercialisation
65949635;3400930207420;15;30/03/2021;Déclaration de commercialisation
65950064;3400930258064;15;20/12/2022;Déclaration de commercialisation
65950071;3400930155981;15;17/06/2019;Déclaration de commercialisation
65950071;3400930155998;15;17/06/2019;Déclaration de commercialisation
65950491;3400922410739;15;16/11/2012;Déclaration de commercialisation
65950491;3400922410968;15;16/11/2012;Déclaration de commercialisation
65950491;3400958295881;15;16/11/2012;Déclaration de commercialisation
65951045;3400939889054;15;25/08/2010;Déclaration de commercialisation
65952065;3400955595458;15;19/04/1988;Déclaration de commercialisation
65953509;3400930012116;15;25/07/2016;Déclaration de commercialisation
65953509;3400938628548;15;25/02/2009;Déclaration de commercialisation
65953509;3400938628548;16;22/06/2018;Déclaration d'arrêt de commercialisation
65953612;3400930179567;15;08/11/2019;Déclaration de commercialisation
65953669;3400930195970;15;17/04/2020;Déclaration de commercialisation
65955054;3400938461114;15;09/07/2008;Déclaration de commercialisation
65955652;3400932926350;15;19/06/1987;Déclaration de commercialisation
65958239;3400938054316;15;22/10/2007;Déclaration de commercialisation
65958869;3400931178149;15;19/01/1971;Déclaration de commercialisation
65958869;3400931178149;15;01/11/2007;Déclaration de commercialisation
65958869;3400931178149;16;30/10/2006;Déclaration d'arrêt de commercialisation
65958869;3400931178149;16;24/10/2019;Déclaration d'arrêt de commercialisation
65958869;3400931539742;15;19/01/1971;Déclaration de commercialisation
65958869;3400931539742;15;01/11/2007;Déclaration de commercialisation
65958869;3400931539742;16;16/01/2007;Déclaration d'arrêt de commercialisation
65958869;3400931539742;16;12/09/2019;Déclaration d'arrêt de commercialisation
65959330;3400930115404;15;19/05/2020;Déclaration de commercialisation
